Date,Crew_ID,Crew_Count,Hours_Worked,Units_Installed,Fatigue_Score,Superintendent_Notes,Safety_Incident,Rework_Cost
2024-02-11,Drywall-A,5,12,45,8,"Confusion on drawings for HVAC, had to stop work.",0,3937
2024-02-12,Drywall-A,5,9,82,8,"Safety talk held this morning, no incidents.",0,0
2024-02-13,Drywall-A,7,12,49,10,"Waiting on RFI response, crew standing around.",0,3721
2024-02-14,Drywall-A,7,10,61,12,"Waiting on RFI response, crew standing around.",0,3927
2024-02-15,Drywall-A,8,9,112,11,"Crew moving fast, materials arrived on time.",0,0
2024-02-16,Drywall-A,7,10,61,13,"Crew exhausted from overtime, morale is low.",1,4469
2024-02-17,Drywall-A,8,9,107,12,"Productive day, finished Zone A early.",0,0
2024-02-18,Drywall-A,5,10,96,12,"Safety talk held this morning, no incidents.",0,0
2024-02-19,Drywall-A,6,9,90,12,"Crew size normal, steady pace.",0,0
2024-02-20,Drywall-A,7,8,108,11,"Crew moving fast, materials arrived on time.",0,0
2024-02-21,Drywall-A,5,8,109,10,"Great weather, slab pour went perfectly.",0,0
2024-02-22,Drywall-A,7,8,101,9,"Productive day, finished Zone A early.",0,0
2024-02-23,Drywall-A,5,8,119,8,"Crew moving fast, materials arrived on time.",0,0
2024-02-24,Drywall-A,6,8,107,7,"Great weather, slab pour went perfectly.",0,0
2024-02-25,Drywall-A,5,13,59,9,"Rain delay caused slip hazards, slowed down install.",0,669
2024-02-26,Drywall-A,8,10,100,9,"Safety talk held this morning, no incidents.",0,0
2024-02-27,Drywall-A,8,9,103,8,"Ahead of schedule, inspection passed.",0,0
2024-02-28,Drywall-A,5,9,112,7,"Productive day, finished Zone A early.",0,0
2024-02-29,Drywall-A,6,9,90,7,"Weather overcast, work continuing.",0,0
2024-03-01,Drywall-A,7,9,93,7,Routine install in Zone B.,0,0
2024-03-02,Drywall-A,6,9,114,6,"Ahead of schedule, inspection passed.",0,0
2024-03-03,Drywall-A,5,9,113,5,"Crew moving fast, materials arrived on time.",0,0
2024-03-04,Drywall-A,8,9,95,5,"Weather overcast, work continuing.",0,0
2024-03-05,Drywall-A,5,9,97,5,"Standard progress, nothing to report.",0,0
2024-03-06,Drywall-A,5,9,104,4,"Crew moving fast, materials arrived on time.",0,0
2024-03-07,Drywall-A,6,9,111,3,"Great weather, slab pour went perfectly.",0,0
2024-03-08,Drywall-A,8,9,104,2,"Crew moving fast, materials arrived on time.",0,0
2024-03-09,Drywall-A,5,9,117,1,"Crew moving fast, materials arrived on time.",0,0
2024-03-10,Drywall-A,6,9,92,1,Routine install in Zone B.,0,0
2024-03-11,Drywall-A,5,8,119,0,"Crew moving fast, materials arrived on time.",0,0
2024-03-12,Drywall-A,5,13,47,2,"Material delivery late, caused bottleneck.",0,740
2024-03-13,Drywall-A,8,8,109,1,"Productive day, finished Zone A early.",0,0
2024-03-14,Drywall-A,7,9,114,0,"Productive day, finished Zone A early.",0,0
2024-03-15,Drywall-A,6,10,98,0,"Standard progress, nothing to report.",0,0
2024-03-16,Drywall-A,8,8,116,0,"Crew moving fast, materials arrived on time.",0,0
2024-03-17,Drywall-A,6,8,104,0,"Productive day, finished Zone A early.",0,0
2024-03-18,Drywall-A,5,8,111,0,"Productive day, finished Zone A early.",0,0
2024-03-19,Drywall-A,6,10,87,0,"Weather overcast, work continuing.",0,0
2024-03-20,Drywall-A,5,9,111,0,"Ahead of schedule, inspection passed.",0,0
2024-03-21,Drywall-A,6,8,119,0,"Team is in good rhythm, no safety issues.",0,0
2024-03-22,Drywall-A,7,9,98,0,Routine install in Zone B.,0,0
2024-03-23,Drywall-A,8,9,99,0,"Standard progress, nothing to report.",0,0
2024-03-24,Drywall-A,5,8,118,0,"Ahead of schedule, inspection passed.",0,0
2024-03-25,Drywall-A,8,8,85,0,"Weather overcast, work continuing.",0,0
2024-03-26,Drywall-A,7,9,107,0,"Ahead of schedule, inspection passed.",0,0
2024-03-27,Drywall-A,8,9,102,0,"Ahead of schedule, inspection passed.",0,0
2024-03-28,Drywall-A,8,8,112,0,"Team is in good rhythm, no safety issues.",0,0
2024-03-29,Drywall-A,6,8,110,0,"Great weather, slab pour went perfectly.",0,0
2024-03-30,Drywall-A,5,8,106,0,"Ahead of schedule, inspection passed.",0,0
2024-03-31,Drywall-A,6,8,98,0,"Crew size normal, steady pace.",0,0
2024-04-01,Drywall-A,5,10,85,0,"Crew size normal, steady pace.",0,0
2024-04-02,Drywall-A,6,10,92,0,"Weather overcast, work continuing.",0,0
2024-04-03,Drywall-A,7,8,117,0,"Crew moving fast, materials arrived on time.",0,0
2024-04-04,Drywall-A,8,8,101,0,"Productive day, finished Zone A early.",0,0
2024-04-05,Drywall-A,6,10,95,0,"Weather overcast, work continuing.",0,0
2024-04-06,Drywall-A,5,10,95,0,"Crew size normal, steady pace.",0,0
2024-04-07,Drywall-A,7,10,97,0,"Weather overcast, work continuing.",0,0
2024-04-08,Drywall-A,5,9,109,0,"Productive day, finished Zone A early.",0,0
2024-04-09,Drywall-A,6,9,108,0,"Team is in good rhythm, no safety issues.",0,0
2024-04-10,Drywall-A,7,9,108,0,"Ahead of schedule, inspection passed.",0,0
2024-04-11,Drywall-A,8,9,104,0,"Great weather, slab pour went perfectly.",0,0
2024-04-12,Drywall-A,6,9,94,0,Routine install in Zone B.,0,0
2024-04-13,Drywall-A,5,9,120,0,"Ahead of schedule, inspection passed.",0,0
2024-04-14,Drywall-A,5,10,56,2,"Crew exhausted from overtime, morale is low.",0,0
2024-04-15,Drywall-A,8,10,88,2,"Safety talk held this morning, no incidents.",0,0
2024-04-16,Drywall-A,8,8,104,1,"Team is in good rhythm, no safety issues.",0,0
2024-04-17,Drywall-A,5,9,94,1,"Weather overcast, work continuing.",0,0
2024-04-18,Drywall-A,7,9,93,1,"Safety talk held this morning, no incidents.",0,0
2024-04-19,Drywall-A,5,8,93,1,Routine install in Zone B.,0,0
2024-04-20,Drywall-A,8,8,86,1,"Weather overcast, work continuing.",0,0
2024-04-21,Drywall-A,6,9,103,0,"Ahead of schedule, inspection passed.",0,0
2024-04-22,Drywall-A,6,8,109,0,"Team is in good rhythm, no safety issues.",0,0
2024-04-23,Drywall-A,5,10,88,0,"Weather overcast, work continuing.",0,0
2024-04-24,Drywall-A,6,8,116,0,"Great weather, slab pour went perfectly.",0,0
2024-04-25,Drywall-A,6,8,109,0,"Productive day, finished Zone A early.",0,0
2024-04-26,Drywall-A,8,13,69,2,"Material delivery late, caused bottleneck.",0,4808
2024-04-27,Drywall-A,5,10,44,4,Argument with sub trade over laydown area.,0,2018
2024-04-28,Drywall-A,6,12,65,6,"Material delivery late, caused bottleneck.",0,0
2024-04-29,Drywall-A,8,9,102,5,"Productive day, finished Zone A early.",0,0
2024-04-30,Drywall-A,6,8,101,4,"Team is in good rhythm, no safety issues.",0,0
2024-05-01,Drywall-A,8,11,52,6,"Rework needed on wall framing, incorrect specs.",0,0
2024-05-02,Drywall-A,5,9,101,5,"Crew moving fast, materials arrived on time.",0,0
2024-05-03,Drywall-A,6,8,113,4,"Ahead of schedule, inspection passed.",0,0
2024-05-04,Drywall-A,7,11,57,6,"Waiting on RFI response, crew standing around.",0,0
2024-05-05,Drywall-A,5,8,116,5,"Crew moving fast, materials arrived on time.",0,0
2024-05-06,Drywall-A,5,9,119,4,"Productive day, finished Zone A early.",0,0
2024-05-07,Drywall-A,5,9,112,3,"Great weather, slab pour went perfectly.",0,0
2024-05-08,Drywall-A,6,8,85,3,"Standard progress, nothing to report.",0,0
2024-05-09,Drywall-A,7,10,81,3,"Crew size normal, steady pace.",0,0
2024-05-10,Drywall-A,6,8,92,3,"Weather overcast, work continuing.",0,0
2024-05-11,Drywall-A,7,13,54,5,"Crew exhausted from overtime, morale is low.",0,4515
2024-05-12,Drywall-A,5,9,113,4,"Ahead of schedule, inspection passed.",0,0
2024-05-13,Drywall-A,7,13,66,6,"Waiting on RFI response, crew standing around.",0,527
2024-05-14,Drywall-A,6,8,108,5,"Ahead of schedule, inspection passed.",0,0
2024-05-15,Drywall-A,7,9,113,4,"Ahead of schedule, inspection passed.",0,0
2024-05-16,Drywall-A,7,13,62,6,"Rework needed on wall framing, incorrect specs.",0,0
2024-05-17,Drywall-A,7,12,53,8,"Rain delay caused slip hazards, slowed down install.",0,0
2024-05-18,Drywall-A,7,9,113,7,"Crew moving fast, materials arrived on time.",0,0
2024-05-19,Drywall-A,7,9,104,6,"Productive day, finished Zone A early.",0,0
2024-05-20,Drywall-A,5,10,83,6,"Weather overcast, work continuing.",0,0
2024-05-21,Drywall-A,8,8,94,6,"Weather overcast, work continuing.",0,0
2024-05-22,Drywall-A,5,8,106,5,"Great weather, slab pour went perfectly.",0,0
2024-05-23,Drywall-A,5,10,90,5,"Standard progress, nothing to report.",0,0
2024-05-24,Drywall-A,7,9,108,4,"Productive day, finished Zone A early.",0,0
2024-05-25,Drywall-A,8,9,94,4,"Safety talk held this morning, no incidents.",0,0
2024-05-26,Drywall-A,5,8,101,3,"Team is in good rhythm, no safety issues.",0,0
2024-05-27,Drywall-A,8,8,87,3,Routine install in Zone B.,0,0
2024-05-28,Drywall-A,8,11,68,5,"Waiting on RFI response, crew standing around.",0,0
2024-05-29,Drywall-A,8,8,117,4,"Crew moving fast, materials arrived on time.",0,0
2024-05-30,Drywall-A,7,10,48,6,"Rain delay caused slip hazards, slowed down install.",1,2526
2024-05-31,Drywall-A,5,12,41,8,"Rework needed on wall framing, incorrect specs.",0,2098
2024-06-01,Drywall-A,7,10,80,8,"Standard progress, nothing to report.",0,0
2024-06-02,Drywall-A,7,8,114,7,"Ahead of schedule, inspection passed.",0,0
2024-06-03,Drywall-A,5,9,111,6,"Team is in good rhythm, no safety issues.",0,0
2024-06-04,Drywall-A,8,8,114,5,"Productive day, finished Zone A early.",0,0
2024-06-05,Drywall-A,6,8,106,4,"Crew moving fast, materials arrived on time.",0,0
2024-06-06,Drywall-A,7,9,118,3,"Crew moving fast, materials arrived on time.",0,0
2024-06-07,Drywall-A,7,9,102,2,"Productive day, finished Zone A early.",0,0
2024-06-08,Drywall-A,7,9,100,1,"Ahead of schedule, inspection passed.",0,0
2024-06-09,Drywall-A,6,9,101,0,"Productive day, finished Zone A early.",0,0
2024-06-10,Drywall-A,8,8,119,0,"Crew moving fast, materials arrived on time.",0,0
2024-06-11,Drywall-A,8,9,111,0,"Ahead of schedule, inspection passed.",0,0
2024-06-12,Drywall-A,7,9,82,0,Routine install in Zone B.,0,0
2024-06-13,Drywall-A,8,9,101,0,"Team is in good rhythm, no safety issues.",0,0
2024-06-14,Drywall-A,8,8,119,0,"Productive day, finished Zone A early.",0,0
2024-06-15,Drywall-A,6,10,67,2,"Confusion on drawings for HVAC, had to stop work.",0,500
2024-06-16,Drywall-A,5,10,58,4,"Rework needed on wall framing, incorrect specs.",1,0
2024-06-17,Drywall-A,6,8,105,3,"Ahead of schedule, inspection passed.",0,0
2024-06-18,Drywall-A,7,10,53,5,"Confusion on drawings for HVAC, had to stop work.",0,556
2024-06-19,Drywall-A,5,11,62,7,"Rework needed on wall framing, incorrect specs.",1,0
2024-06-20,Drywall-A,7,8,114,6,"Productive day, finished Zone A early.",0,0
2024-06-21,Drywall-A,7,8,100,5,"Productive day, finished Zone A early.",0,0
2024-06-22,Drywall-A,5,10,62,7,"Rain delay caused slip hazards, slowed down install.",0,0
2024-06-23,Drywall-A,7,11,65,9,"Rework needed on wall framing, incorrect specs.",0,2366
2024-06-24,Drywall-A,5,8,115,8,"Productive day, finished Zone A early.",0,0
2024-06-25,Drywall-A,6,8,97,8,"Crew size normal, steady pace.",0,0
2024-06-26,Drywall-A,6,8,108,7,"Ahead of schedule, inspection passed.",0,0
2024-06-27,Drywall-A,5,10,93,7,"Safety talk held this morning, no incidents.",0,0
2024-06-28,Drywall-A,6,9,111,6,"Ahead of schedule, inspection passed.",0,0
2024-06-29,Drywall-A,6,8,114,5,"Great weather, slab pour went perfectly.",0,0
2024-06-30,Drywall-A,5,8,117,4,"Great weather, slab pour went perfectly.",0,0
2024-07-01,Drywall-A,7,8,90,4,"Safety talk held this morning, no incidents.",0,0
2024-07-02,Drywall-A,5,12,52,6,"Waiting on RFI response, crew standing around.",0,4672
2024-07-03,Drywall-A,6,9,102,5,"Productive day, finished Zone A early.",0,0
2024-07-04,Drywall-A,6,11,52,7,"Waiting on RFI response, crew standing around.",0,4469
2024-07-05,Drywall-A,7,9,115,6,"Great weather, slab pour went perfectly.",0,0
2024-07-06,Drywall-A,8,9,105,5,"Productive day, finished Zone A early.",0,0
2024-07-07,Drywall-A,8,13,53,7,"Rain delay caused slip hazards, slowed down install.",0,1806
2024-07-08,Drywall-A,6,9,108,6,"Team is in good rhythm, no safety issues.",0,0
2024-07-09,Drywall-A,8,10,47,8,"Crew exhausted from overtime, morale is low.",1,0
2024-07-10,Drywall-A,5,9,91,8,"Weather overcast, work continuing.",0,0
2024-07-11,Drywall-A,6,9,100,7,"Productive day, finished Zone A early.",0,0
2024-07-12,Drywall-A,6,9,109,6,"Team is in good rhythm, no safety issues.",0,0
2024-07-13,Drywall-A,7,8,102,5,"Ahead of schedule, inspection passed.",0,0
2024-07-14,Drywall-A,5,9,89,5,"Standard progress, nothing to report.",0,0
2024-07-15,Drywall-A,7,10,82,5,"Crew size normal, steady pace.",0,0
2024-07-16,Drywall-A,5,8,118,4,"Productive day, finished Zone A early.",0,0
2024-07-17,Drywall-A,8,10,61,6,"Rework needed on wall framing, incorrect specs.",1,3952
2024-07-18,Drywall-A,7,8,83,6,"Crew size normal, steady pace.",0,0
2024-07-19,Drywall-A,7,10,81,6,Routine install in Zone B.,0,0
2024-07-20,Drywall-A,6,14,51,8,"Confusion on drawings for HVAC, had to stop work.",0,4130
2024-07-21,Drywall-A,6,11,41,10,"Waiting on RFI response, crew standing around.",0,0
2024-07-22,Drywall-A,8,11,45,12,"Material delivery late, caused bottleneck.",0,0
2024-07-23,Drywall-A,5,8,98,12,Routine install in Zone B.,0,0
2024-07-24,Drywall-A,5,9,115,11,"Ahead of schedule, inspection passed.",0,0
2024-07-25,Drywall-A,8,9,118,10,"Productive day, finished Zone A early.",0,0
2024-07-26,Drywall-A,8,9,109,9,"Team is in good rhythm, no safety issues.",0,0
2024-07-27,Drywall-A,6,8,107,8,"Crew moving fast, materials arrived on time.",0,0
2024-07-28,Drywall-A,5,12,65,10,"Confusion on drawings for HVAC, had to stop work.",1,0
2024-07-29,Drywall-A,7,8,98,10,"Standard progress, nothing to report.",0,0
2024-07-30,Drywall-A,6,8,83,10,"Crew size normal, steady pace.",0,0
2024-07-31,Drywall-A,8,8,116,9,"Team is in good rhythm, no safety issues.",0,0
2024-08-01,Drywall-A,7,10,59,11,Argument with sub trade over laydown area.,0,2658
2024-08-02,Drywall-A,6,8,89,11,"Standard progress, nothing to report.",0,0
2024-08-03,Drywall-A,5,8,109,10,"Crew moving fast, materials arrived on time.",0,0
2024-08-04,Drywall-A,8,9,80,10,"Standard progress, nothing to report.",0,0
2024-08-05,Drywall-A,6,10,100,10,"Crew size normal, steady pace.",0,0
2024-08-06,Drywall-A,7,8,85,10,"Safety talk held this morning, no incidents.",0,0
2024-08-07,Drywall-A,7,10,92,10,"Safety talk held this morning, no incidents.",0,0
2024-08-08,Drywall-A,6,9,117,9,"Team is in good rhythm, no safety issues.",0,0
2024-08-09,Drywall-A,5,10,86,9,"Weather overcast, work continuing.",0,0
2024-08-10,Drywall-A,7,9,101,8,"Team is in good rhythm, no safety issues.",0,0
2024-08-11,Drywall-A,5,8,100,8,"Crew size normal, steady pace.",0,0
2024-08-12,Drywall-A,5,11,47,10,"Confusion on drawings for HVAC, had to stop work.",1,2879
2024-08-13,Drywall-A,6,9,99,10,"Weather overcast, work continuing.",0,0
2024-08-14,Drywall-A,7,9,119,9,"Ahead of schedule, inspection passed.",0,0
2024-08-15,Drywall-A,5,14,69,11,"Material delivery late, caused bottleneck.",0,0
2024-08-16,Drywall-A,6,9,113,10,"Great weather, slab pour went perfectly.",0,0
2024-08-17,Drywall-A,8,10,91,10,"Safety talk held this morning, no incidents.",0,0
2024-08-18,Drywall-A,8,9,111,9,"Great weather, slab pour went perfectly.",0,0
2024-08-19,Drywall-A,5,9,96,9,"Standard progress, nothing to report.",0,0
2024-08-20,Drywall-A,7,8,97,9,"Crew size normal, steady pace.",0,0
2024-08-21,Drywall-A,8,9,87,9,"Weather overcast, work continuing.",0,0
2024-08-22,Drywall-A,5,8,109,8,"Great weather, slab pour went perfectly.",0,0
2024-08-23,Drywall-A,8,13,46,10,"Rework needed on wall framing, incorrect specs.",0,0
2024-08-24,Drywall-A,7,9,117,9,"Ahead of schedule, inspection passed.",0,0
2024-08-25,Drywall-A,6,9,82,9,"Weather overcast, work continuing.",0,0
2024-08-26,Drywall-A,7,9,106,8,"Team is in good rhythm, no safety issues.",0,0
2024-08-27,Drywall-A,7,11,62,10,"Waiting on RFI response, crew standing around.",0,0
2024-08-28,Drywall-A,5,9,111,9,"Great weather, slab pour went perfectly.",0,0
2024-08-29,Drywall-A,6,8,96,9,"Safety talk held this morning, no incidents.",0,0
2024-08-30,Drywall-A,7,9,83,9,"Safety talk held this morning, no incidents.",0,0
2024-08-31,Drywall-A,8,10,82,9,"Standard progress, nothing to report.",0,0
2024-09-01,Drywall-A,8,9,107,8,"Ahead of schedule, inspection passed.",0,0
2024-09-02,Drywall-A,7,9,111,7,"Team is in good rhythm, no safety issues.",0,0
2024-09-03,Drywall-A,8,8,80,7,"Weather overcast, work continuing.",0,0
2024-09-04,Drywall-A,5,8,85,7,Routine install in Zone B.,0,0
2024-09-05,Drywall-A,8,9,100,6,"Team is in good rhythm, no safety issues.",0,0
2024-09-06,Drywall-A,7,9,112,5,"Crew moving fast, materials arrived on time.",0,0
2024-09-07,Drywall-A,6,9,101,4,"Crew moving fast, materials arrived on time.",0,0
2024-09-08,Drywall-A,8,8,116,3,"Team is in good rhythm, no safety issues.",0,0
2024-09-09,Drywall-A,5,9,100,2,"Team is in good rhythm, no safety issues.",0,0
2024-09-10,Drywall-A,5,8,92,2,Routine install in Zone B.,0,0
2024-09-11,Drywall-A,7,8,86,2,"Standard progress, nothing to report.",0,0
2024-09-12,Drywall-A,8,14,54,4,"Material delivery late, caused bottleneck.",0,0
2024-09-13,Drywall-A,7,9,106,3,"Great weather, slab pour went perfectly.",0,0
2024-09-14,Drywall-A,5,9,87,3,"Safety talk held this morning, no incidents.",0,0
2024-09-15,Drywall-A,8,9,97,3,"Safety talk held this morning, no incidents.",0,0
2024-09-16,Drywall-A,6,9,111,2,"Ahead of schedule, inspection passed.",0,0
2024-09-17,Drywall-A,5,8,112,1,"Crew moving fast, materials arrived on time.",0,0
2024-09-18,Drywall-A,7,10,67,3,Argument with sub trade over laydown area.,0,0
2024-09-19,Drywall-A,8,10,92,3,Routine install in Zone B.,0,0
2024-09-20,Drywall-A,5,10,82,3,"Standard progress, nothing to report.",0,0
2024-09-21,Drywall-A,6,10,80,3,"Safety talk held this morning, no incidents.",0,0
2024-09-22,Drywall-A,6,9,119,2,"Team is in good rhythm, no safety issues.",0,0
2024-09-23,Drywall-A,5,9,100,1,"Great weather, slab pour went perfectly.",0,0
2024-09-24,Drywall-A,8,8,117,0,"Great weather, slab pour went perfectly.",0,0
2024-09-25,Drywall-A,6,9,105,0,"Crew moving fast, materials arrived on time.",0,0
2024-09-26,Drywall-A,6,8,104,0,"Crew moving fast, materials arrived on time.",0,0
2024-09-27,Drywall-A,8,10,92,0,"Crew size normal, steady pace.",0,0
2024-09-28,Drywall-A,5,9,104,0,"Great weather, slab pour went perfectly.",0,0
2024-09-29,Drywall-A,6,9,87,0,"Standard progress, nothing to report.",0,0
2024-09-30,Drywall-A,5,10,64,2,Argument with sub trade over laydown area.,0,1154
2024-10-01,Drywall-A,7,9,108,1,"Crew moving fast, materials arrived on time.",0,0
2024-10-02,Drywall-A,5,8,108,0,"Crew moving fast, materials arrived on time.",0,0
2024-10-03,Drywall-A,6,14,50,2,"Rework needed on wall framing, incorrect specs.",1,0
2024-10-04,Drywall-A,6,9,82,2,"Standard progress, nothing to report.",0,0
2024-10-05,Drywall-A,6,9,114,1,"Crew moving fast, materials arrived on time.",0,0
2024-10-06,Drywall-A,7,8,114,0,"Crew moving fast, materials arrived on time.",0,0
2024-10-07,Drywall-A,8,9,91,0,"Crew size normal, steady pace.",0,0
2024-10-08,Drywall-A,7,8,112,0,"Crew moving fast, materials arrived on time.",0,0
2024-10-09,Drywall-A,6,9,104,0,"Team is in good rhythm, no safety issues.",0,0
2024-10-10,Drywall-A,5,8,120,0,"Productive day, finished Zone A early.",0,0
2024-10-11,Drywall-A,6,10,96,0,"Weather overcast, work continuing.",0,0
2024-10-12,Drywall-A,7,9,106,0,"Productive day, finished Zone A early.",0,0
2024-10-13,Drywall-A,7,13,42,2,Argument with sub trade over laydown area.,0,4903
2024-10-14,Drywall-A,7,8,105,1,"Great weather, slab pour went perfectly.",0,0
2024-10-15,Drywall-A,5,9,98,1,"Weather overcast, work continuing.",0,0
2024-10-16,Drywall-A,8,10,62,3,"Crew exhausted from overtime, morale is low.",0,0
2024-10-17,Drywall-A,8,8,90,3,"Standard progress, nothing to report.",0,0
2024-10-18,Drywall-A,8,8,106,2,"Ahead of schedule, inspection passed.",0,0
2024-10-19,Drywall-A,5,10,97,2,"Crew size normal, steady pace.",0,0
2024-10-20,Drywall-A,8,9,102,1,"Productive day, finished Zone A early.",0,0
2024-10-21,Drywall-A,7,9,85,1,Routine install in Zone B.,0,0
2024-10-22,Drywall-A,8,8,97,1,Routine install in Zone B.,0,0
2024-10-23,Drywall-A,5,8,92,1,"Weather overcast, work continuing.",0,0
2024-10-24,Drywall-A,8,9,117,0,"Great weather, slab pour went perfectly.",0,0
2024-10-25,Drywall-A,7,8,116,0,"Great weather, slab pour went perfectly.",0,0
2024-10-26,Drywall-A,7,8,100,0,"Productive day, finished Zone A early.",0,0
2024-10-27,Drywall-A,8,8,81,0,"Safety talk held this morning, no incidents.",0,0
2024-10-28,Drywall-A,8,9,118,0,"Great weather, slab pour went perfectly.",0,0
2024-10-29,Drywall-A,7,10,44,2,"Material delivery late, caused bottleneck.",0,0
2024-10-30,Drywall-A,7,9,115,1,"Productive day, finished Zone A early.",0,0
2024-10-31,Drywall-A,5,13,50,3,"Rain delay caused slip hazards, slowed down install.",0,0
2024-11-01,Drywall-A,7,9,81,3,"Safety talk held this morning, no incidents.",0,0
2024-11-02,Drywall-A,7,8,119,2,"Ahead of schedule, inspection passed.",0,0
2024-11-03,Drywall-A,5,8,115,1,"Productive day, finished Zone A early.",0,0
2024-11-04,Drywall-A,7,8,115,0,"Crew moving fast, materials arrived on time.",0,0
2024-11-05,Drywall-A,7,9,111,0,"Ahead of schedule, inspection passed.",0,0
2024-11-06,Drywall-A,6,11,59,2,"Material delivery late, caused bottleneck.",1,2135
2024-11-07,Drywall-A,7,9,94,2,"Standard progress, nothing to report.",0,0
2024-11-08,Drywall-A,7,8,102,1,"Team is in good rhythm, no safety issues.",0,0
2024-11-09,Drywall-A,6,9,113,0,"Team is in good rhythm, no safety issues.",0,0
2024-11-10,Drywall-A,6,9,113,0,"Great weather, slab pour went perfectly.",0,0
2024-11-11,Drywall-A,6,9,87,0,Routine install in Zone B.,0,0
2024-11-12,Drywall-A,7,8,114,0,"Ahead of schedule, inspection passed.",0,0
2024-11-13,Drywall-A,7,12,68,2,Argument with sub trade over laydown area.,0,0
2024-11-14,Drywall-A,8,9,98,2,"Crew size normal, steady pace.",0,0
2024-11-15,Drywall-A,8,8,107,1,"Team is in good rhythm, no safety issues.",0,0
2024-11-16,Drywall-A,5,8,104,0,"Ahead of schedule, inspection passed.",0,0
2024-11-17,Drywall-A,5,12,44,2,"Material delivery late, caused bottleneck.",0,0
2024-11-18,Drywall-A,5,11,42,4,"Crew exhausted from overtime, morale is low.",1,0
2024-11-19,Drywall-A,7,9,84,4,Routine install in Zone B.,0,0
2024-11-20,Drywall-A,8,9,106,3,"Crew moving fast, materials arrived on time.",0,0
2024-11-21,Drywall-A,5,8,109,2,"Productive day, finished Zone A early.",0,0
