Date,Crew_ID,Crew_Count,Hours_Worked,Units_Installed,Fatigue_Score,Superintendent_Notes,Safety_Incident,Rework_Cost,Sentiment_Score,Daily_Overtime,Rolling_Overtime_7d,Productivity_Rate,Risk_Event
2024-02-08,Concrete-1,6,9,106,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,7.0,1.962962962962963,0
2024-02-09,Concrete-1,8,9,108,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,8.0,1.5,0
2024-02-10,Concrete-1,5,9,118,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,8.0,2.6222222222222222,0
2024-02-11,Concrete-1,5,9,117,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,9.0,2.6,0
2024-02-12,Concrete-1,7,8,109,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,5.0,1.9464285714285714,0
2024-02-13,Concrete-1,6,8,115,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,5.0,2.3958333333333335,0
2024-02-14,Concrete-1,7,9,109,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,5.0,1.7301587301587302,0
2024-02-15,Concrete-1,6,9,108,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,5.0,2.0,0
2024-02-16,Concrete-1,8,9,120,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,5.0,1.6666666666666667,0
2024-02-17,Concrete-1,7,8,118,0,"Crew moving fast, materials arrived on time.",0,0,0.0,0,4.0,2.107142857142857,0
2024-02-18,Concrete-1,6,13,62,2,"Material delivery late, caused bottleneck.",0,0,0.0,5,8.0,0.7948717948717948,0
2024-02-19,Concrete-1,6,9,103,1,"Productive day, finished Zone A early.",0,0,0.0,1,9.0,1.9074074074074074,0
2024-02-20,Concrete-1,6,9,113,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,10.0,2.0925925925925926,0
2024-02-21,Concrete-1,6,9,108,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,10.0,2.0,0
2024-02-22,Concrete-1,6,10,80,0,Routine install in Zone B.,0,0,0.0,2,11.0,1.3333333333333333,0
2024-02-23,Concrete-1,8,9,113,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,11.0,1.5694444444444444,0
2024-02-24,Concrete-1,7,14,59,2,"Confusion on drawings for HVAC, had to stop work.",0,0,-0.5267,6,17.0,0.6020408163265306,0
2024-02-25,Concrete-1,8,8,109,1,"Ahead of schedule, inspection passed.",0,0,0.0,0,12.0,1.703125,0
2024-02-26,Concrete-1,8,9,117,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,12.0,1.625,0
2024-02-27,Concrete-1,5,13,40,2,"Rain delay caused slip hazards, slowed down install.",0,2702,-0.3182,5,16.0,0.6153846153846154,1
2024-02-28,Concrete-1,8,8,105,1,"Ahead of schedule, inspection passed.",0,0,0.0,0,15.0,1.640625,0
2024-02-29,Concrete-1,6,8,112,0,"Crew moving fast, materials arrived on time.",0,0,0.0,0,13.0,2.3333333333333335,0
2024-03-01,Concrete-1,5,9,120,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,13.0,2.6666666666666665,0
2024-03-02,Concrete-1,8,9,106,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,8.0,1.4722222222222223,0
2024-03-03,Concrete-1,8,8,120,0,"Productive day, finished Zone A early.",0,0,0.0,0,8.0,1.875,0
2024-03-04,Concrete-1,6,10,80,0,"Weather overcast, work continuing.",0,0,0.0,2,9.0,1.3333333333333333,0
2024-03-05,Concrete-1,6,9,114,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,5.0,2.111111111111111,0
2024-03-06,Concrete-1,5,10,59,2,"Rain delay caused slip hazards, slowed down install.",0,0,-0.3182,2,7.0,1.18,0
2024-03-07,Concrete-1,6,10,83,2,Routine install in Zone B.,0,0,0.0,2,9.0,1.3833333333333333,0
2024-03-08,Concrete-1,7,9,113,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,9.0,1.7936507936507937,0
2024-03-09,Concrete-1,5,10,86,1,"Crew size normal, steady pace.",0,0,0.0,2,10.0,1.72,0
2024-03-10,Concrete-1,5,10,81,1,"Crew size normal, steady pace.",0,0,0.0,2,12.0,1.62,0
2024-03-11,Concrete-1,7,8,109,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,10.0,1.9464285714285714,0
2024-03-12,Concrete-1,7,9,102,0,"Productive day, finished Zone A early.",0,0,0.0,1,10.0,1.619047619047619,0
2024-03-13,Concrete-1,6,8,111,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,8.0,2.3125,0
2024-03-14,Concrete-1,6,8,106,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,6.0,2.2083333333333335,0
2024-03-15,Concrete-1,5,10,80,0,"Standard progress, nothing to report.",0,0,0.4215,2,7.0,1.6,0
2024-03-16,Concrete-1,6,10,96,0,"Crew size normal, steady pace.",0,0,0.0,2,7.0,1.6,0
2024-03-17,Concrete-1,5,8,94,0,Routine install in Zone B.,0,0,0.0,0,5.0,2.35,0
2024-03-18,Concrete-1,8,8,113,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,5.0,1.765625,0
2024-03-19,Concrete-1,5,10,41,2,"Waiting on RFI response, crew standing around.",0,0,0.0,2,6.0,0.82,0
2024-03-20,Concrete-1,6,9,115,1,"Ahead of schedule, inspection passed.",0,0,0.0,1,7.0,2.1296296296296298,0
2024-03-21,Concrete-1,7,9,93,1,Routine install in Zone B.,0,0,0.0,1,8.0,1.4761904761904763,0
2024-03-22,Concrete-1,6,10,90,1,"Standard progress, nothing to report.",0,0,0.4215,2,8.0,1.5,0
2024-03-23,Concrete-1,7,9,83,1,"Weather overcast, work continuing.",0,0,0.0,1,7.0,1.3174603174603174,0
2024-03-24,Concrete-1,8,13,60,3,"Material delivery late, caused bottleneck.",0,0,0.0,5,12.0,0.5769230769230769,0
2024-03-25,Concrete-1,6,9,80,3,"Standard progress, nothing to report.",0,0,0.4215,1,13.0,1.4814814814814814,0
2024-03-26,Concrete-1,7,9,111,2,"Productive day, finished Zone A early.",0,0,0.0,1,12.0,1.7619047619047619,0
2024-03-27,Concrete-1,6,10,86,2,"Safety talk held this morning, no incidents.",0,0,0.1531,2,13.0,1.4333333333333333,0
2024-03-28,Concrete-1,7,13,43,4,Argument with sub trade over laydown area.,1,4632,-0.3612,5,17.0,0.4725274725274725,1
2024-03-29,Concrete-1,5,9,108,3,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,16.0,2.4,0
2024-03-30,Concrete-1,7,9,88,3,Routine install in Zone B.,0,0,0.0,1,16.0,1.3968253968253967,0
2024-03-31,Concrete-1,6,10,85,3,"Safety talk held this morning, no incidents.",0,0,0.1531,2,13.0,1.4166666666666667,0
2024-04-01,Concrete-1,7,9,116,2,"Productive day, finished Zone A early.",0,0,0.0,1,13.0,1.8412698412698412,0
2024-04-02,Concrete-1,5,9,115,1,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,13.0,2.5555555555555554,0
2024-04-03,Concrete-1,6,8,102,0,"Productive day, finished Zone A early.",0,0,0.0,0,11.0,2.125,0
2024-04-04,Concrete-1,8,10,85,0,"Safety talk held this morning, no incidents.",0,0,0.1531,2,8.0,1.0625,0
2024-04-05,Concrete-1,7,8,117,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,7.0,2.0892857142857144,0
2024-04-06,Concrete-1,7,9,113,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,7.0,1.7936507936507937,0
2024-04-07,Concrete-1,8,13,62,2,"Rain delay caused slip hazards, slowed down install.",0,0,-0.3182,5,10.0,0.5961538461538461,0
2024-04-08,Concrete-1,6,9,120,1,"Ahead of schedule, inspection passed.",0,0,0.0,1,10.0,2.2222222222222223,0
2024-04-09,Concrete-1,8,9,104,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,10.0,1.4444444444444444,0
2024-04-10,Concrete-1,6,8,107,0,"Crew moving fast, materials arrived on time.",0,0,0.0,0,10.0,2.2291666666666665,0
2024-04-11,Concrete-1,5,10,90,0,"Weather overcast, work continuing.",0,0,0.0,2,10.0,1.8,0
2024-04-12,Concrete-1,7,9,99,0,"Crew size normal, steady pace.",0,0,0.0,1,11.0,1.5714285714285714,0
2024-04-13,Concrete-1,8,9,106,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,11.0,1.4722222222222223,0
2024-04-14,Concrete-1,7,8,92,0,"Standard progress, nothing to report.",0,0,0.4215,0,6.0,1.6428571428571428,0
2024-04-15,Concrete-1,6,13,53,2,"Crew exhausted from overtime, morale is low.",0,4872,-0.5574,5,10.0,0.6794871794871795,1
2024-04-16,Concrete-1,5,9,113,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,10.0,2.511111111111111,0
2024-04-17,Concrete-1,6,8,118,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,10.0,2.4583333333333335,0
2024-04-18,Concrete-1,6,8,80,0,"Standard progress, nothing to report.",0,0,0.4215,0,8.0,1.6666666666666667,0
2024-04-19,Concrete-1,8,9,102,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,8.0,1.4166666666666667,0
2024-04-20,Concrete-1,8,8,104,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,7.0,1.625,0
2024-04-21,Concrete-1,6,10,80,0,"Standard progress, nothing to report.",0,0,0.4215,2,9.0,1.3333333333333333,0
2024-04-22,Concrete-1,6,8,112,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,4.0,2.3333333333333335,0
2024-04-23,Concrete-1,8,8,118,0,"Productive day, finished Zone A early.",0,0,0.0,0,3.0,1.84375,0
2024-04-24,Concrete-1,6,8,117,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,3.0,2.4375,0
2024-04-25,Concrete-1,5,9,118,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,4.0,2.6222222222222222,0
2024-04-26,Concrete-1,6,9,108,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,4.0,2.0,0
2024-04-27,Concrete-1,6,10,59,2,"Crew exhausted from overtime, morale is low.",0,4485,-0.5574,2,6.0,0.9833333333333333,1
2024-04-28,Concrete-1,6,8,80,2,"Weather overcast, work continuing.",0,0,0.0,0,4.0,1.6666666666666667,0
2024-04-29,Concrete-1,8,8,111,1,"Ahead of schedule, inspection passed.",0,0,0.0,0,4.0,1.734375,0
2024-04-30,Concrete-1,7,9,104,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,5.0,1.6507936507936507,0
2024-05-01,Concrete-1,5,8,96,0,Routine install in Zone B.,0,0,0.0,0,5.0,2.4,0
2024-05-02,Concrete-1,7,10,98,0,Routine install in Zone B.,0,0,0.0,2,6.0,1.4,0
2024-05-03,Concrete-1,7,10,82,0,"Standard progress, nothing to report.",0,0,0.4215,2,7.0,1.1714285714285715,0
2024-05-04,Concrete-1,5,9,110,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,6.0,2.4444444444444446,0
2024-05-05,Concrete-1,5,9,100,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,7.0,2.2222222222222223,0
2024-05-06,Concrete-1,7,9,92,0,"Crew size normal, steady pace.",0,0,0.0,1,8.0,1.4603174603174602,0
2024-05-07,Concrete-1,7,9,105,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,8.0,1.6666666666666667,0
2024-05-08,Concrete-1,8,9,101,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,9.0,1.4027777777777777,0
2024-05-09,Concrete-1,5,8,84,0,"Standard progress, nothing to report.",0,0,0.4215,0,7.0,2.1,0
2024-05-10,Concrete-1,6,9,92,0,"Weather overcast, work continuing.",0,0,0.0,1,6.0,1.7037037037037037,0
2024-05-11,Concrete-1,5,8,120,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,5.0,3.0,0
2024-05-12,Concrete-1,7,8,97,0,"Weather overcast, work continuing.",0,0,0.0,0,4.0,1.7321428571428572,0
2024-05-13,Concrete-1,5,9,89,0,Routine install in Zone B.,0,0,0.0,1,4.0,1.9777777777777779,0
2024-05-14,Concrete-1,6,12,66,2,"Rework needed on wall framing, incorrect specs.",1,1586,0.0,4,7.0,0.9166666666666666,1
2024-05-15,Concrete-1,6,9,107,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,7.0,1.9814814814814814,0
2024-05-16,Concrete-1,6,8,100,1,Routine install in Zone B.,0,0,0.0,0,7.0,2.0833333333333335,0
2024-05-17,Concrete-1,6,8,109,0,"Productive day, finished Zone A early.",0,0,0.0,0,6.0,2.2708333333333335,0
2024-05-18,Concrete-1,8,9,80,0,"Standard progress, nothing to report.",0,0,0.4215,1,7.0,1.1111111111111112,0
2024-05-19,Concrete-1,7,8,91,0,"Safety talk held this morning, no incidents.",0,0,0.1531,0,7.0,1.625,0
2024-05-20,Concrete-1,8,9,108,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,7.0,1.5,0
2024-05-21,Concrete-1,8,8,108,0,"Productive day, finished Zone A early.",0,0,0.0,0,3.0,1.6875,0
2024-05-22,Concrete-1,5,8,111,0,"Productive day, finished Zone A early.",0,0,0.0,0,2.0,2.775,0
2024-05-23,Concrete-1,8,9,106,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,3.0,1.4722222222222223,0
2024-05-24,Concrete-1,6,8,86,0,"Safety talk held this morning, no incidents.",0,0,0.1531,0,3.0,1.7916666666666667,0
2024-05-25,Concrete-1,7,9,94,0,"Weather overcast, work continuing.",0,0,0.0,1,3.0,1.492063492063492,0
2024-05-26,Concrete-1,7,10,82,0,"Standard progress, nothing to report.",0,0,0.4215,2,5.0,1.1714285714285715,0
2024-05-27,Concrete-1,7,9,101,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,5.0,1.6031746031746033,0
2024-05-28,Concrete-1,8,9,101,0,"Productive day, finished Zone A early.",0,0,0.0,1,6.0,1.4027777777777777,0
2024-05-29,Concrete-1,7,8,113,0,"Productive day, finished Zone A early.",0,0,0.0,0,6.0,2.017857142857143,0
2024-05-30,Concrete-1,5,10,99,0,"Safety talk held this morning, no incidents.",0,0,0.1531,2,7.0,1.98,0
2024-05-31,Concrete-1,8,11,58,2,"Crew exhausted from overtime, morale is low.",1,0,-0.5574,3,10.0,0.6590909090909091,1
2024-06-01,Concrete-1,5,8,100,1,"Productive day, finished Zone A early.",0,0,0.0,0,9.0,2.5,0
2024-06-02,Concrete-1,5,14,59,3,"Confusion on drawings for HVAC, had to stop work.",1,0,-0.5267,6,13.0,0.8428571428571429,1
2024-06-03,Concrete-1,7,8,106,2,"Crew moving fast, materials arrived on time.",0,0,0.0,0,12.0,1.8928571428571428,0
2024-06-04,Concrete-1,6,8,111,1,"Productive day, finished Zone A early.",0,0,0.0,0,11.0,2.3125,0
2024-06-05,Concrete-1,7,9,119,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,12.0,1.8888888888888888,0
2024-06-06,Concrete-1,5,8,84,0,"Safety talk held this morning, no incidents.",0,0,0.1531,0,10.0,2.1,0
2024-06-07,Concrete-1,5,8,108,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,7.0,2.7,0
2024-06-08,Concrete-1,7,9,113,0,"Crew moving fast, materials arrived on time.",0,0,0.0,1,8.0,1.7936507936507937,0
2024-06-09,Concrete-1,5,14,61,2,"Crew exhausted from overtime, morale is low.",1,4858,-0.5574,6,8.0,0.8714285714285714,1
2024-06-10,Concrete-1,5,12,70,4,"Rework needed on wall framing, incorrect specs.",1,0,0.0,4,12.0,1.1666666666666667,1
2024-06-11,Concrete-1,6,8,87,4,"Crew size normal, steady pace.",0,0,0.0,0,12.0,1.8125,0
2024-06-12,Concrete-1,5,9,84,4,"Safety talk held this morning, no incidents.",0,0,0.1531,1,12.0,1.8666666666666667,0
2024-06-13,Concrete-1,5,11,70,6,"Crew exhausted from overtime, morale is low.",0,3016,-0.5574,3,15.0,1.2727272727272727,1
2024-06-14,Concrete-1,7,8,93,6,Routine install in Zone B.,0,0,0.0,0,15.0,1.6607142857142858,0
2024-06-15,Concrete-1,7,12,49,8,"Crew exhausted from overtime, morale is low.",0,4835,-0.5574,4,18.0,0.5833333333333334,1
2024-06-16,Concrete-1,8,9,81,8,"Safety talk held this morning, no incidents.",0,0,0.1531,1,13.0,1.125,0
2024-06-17,Concrete-1,7,9,92,8,"Safety talk held this morning, no incidents.",0,0,0.1531,1,10.0,1.4603174603174602,0
2024-06-18,Concrete-1,6,8,118,7,"Great weather, slab pour went perfectly.",0,0,0.8519,0,10.0,2.4583333333333335,0
2024-06-19,Concrete-1,7,8,112,6,"Great weather, slab pour went perfectly.",0,0,0.8519,0,9.0,2.0,0
2024-06-20,Concrete-1,6,9,107,5,"Crew moving fast, materials arrived on time.",0,0,0.0,1,7.0,1.9814814814814814,0
2024-06-21,Concrete-1,6,13,43,7,"Confusion on drawings for HVAC, had to stop work.",0,0,-0.5267,5,12.0,0.5512820512820513,0
2024-06-22,Concrete-1,5,10,91,7,"Crew size normal, steady pace.",0,0,0.0,2,10.0,1.82,0
2024-06-23,Concrete-1,8,9,115,6,"Ahead of schedule, inspection passed.",0,0,0.0,1,10.0,1.5972222222222223,0
2024-06-24,Concrete-1,5,10,100,6,Routine install in Zone B.,0,0,0.0,2,11.0,2.0,0
2024-06-25,Concrete-1,7,9,118,5,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,12.0,1.873015873015873,0
2024-06-26,Concrete-1,5,8,117,4,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,12.0,2.925,0
2024-06-27,Concrete-1,5,9,112,3,"Crew moving fast, materials arrived on time.",0,0,0.0,1,12.0,2.488888888888889,0
2024-06-28,Concrete-1,5,9,113,2,"Ahead of schedule, inspection passed.",0,0,0.0,1,8.0,2.511111111111111,0
2024-06-29,Concrete-1,8,9,100,2,"Safety talk held this morning, no incidents.",0,0,0.1531,1,7.0,1.3888888888888888,0
2024-06-30,Concrete-1,7,9,102,1,"Ahead of schedule, inspection passed.",0,0,0.0,1,7.0,1.619047619047619,0
2024-07-01,Concrete-1,6,14,66,3,"Rain delay caused slip hazards, slowed down install.",0,0,-0.3182,6,11.0,0.7857142857142857,0
2024-07-02,Concrete-1,5,8,114,2,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,10.0,2.85,0
2024-07-03,Concrete-1,7,9,96,2,"Weather overcast, work continuing.",0,0,0.0,1,11.0,1.5238095238095237,0
2024-07-04,Concrete-1,8,14,56,4,"Crew exhausted from overtime, morale is low.",1,2937,-0.5574,6,16.0,0.5,1
2024-07-05,Concrete-1,5,13,64,6,Argument with sub trade over laydown area.,1,4889,-0.3612,5,20.0,0.9846153846153847,1
2024-07-06,Concrete-1,6,14,44,8,"Rework needed on wall framing, incorrect specs.",0,2630,0.0,6,25.0,0.5238095238095238,1
2024-07-07,Concrete-1,6,8,102,7,"Crew moving fast, materials arrived on time.",0,0,0.0,0,24.0,2.125,0
2024-07-08,Concrete-1,5,14,65,9,"Rework needed on wall framing, incorrect specs.",1,0,0.0,6,24.0,0.9285714285714286,1
2024-07-09,Concrete-1,5,8,108,8,"Crew moving fast, materials arrived on time.",0,0,0.0,0,24.0,2.7,0
2024-07-10,Concrete-1,8,14,56,10,"Material delivery late, caused bottleneck.",0,2046,0.0,6,29.0,0.5,1
2024-07-11,Concrete-1,7,8,109,9,"Great weather, slab pour went perfectly.",0,0,0.8519,0,23.0,1.9464285714285714,0
2024-07-12,Concrete-1,5,8,102,8,"Great weather, slab pour went perfectly.",0,0,0.8519,0,18.0,2.55,0
2024-07-13,Concrete-1,5,9,112,7,"Crew moving fast, materials arrived on time.",0,0,0.0,1,13.0,2.488888888888889,0
2024-07-14,Concrete-1,6,13,50,9,"Crew exhausted from overtime, morale is low.",0,2306,-0.5574,5,18.0,0.6410256410256411,1
2024-07-15,Concrete-1,8,8,103,8,"Ahead of schedule, inspection passed.",0,0,0.0,0,12.0,1.609375,0
2024-07-16,Concrete-1,8,8,108,7,"Great weather, slab pour went perfectly.",0,0,0.8519,0,12.0,1.6875,0
2024-07-17,Concrete-1,7,8,114,6,"Great weather, slab pour went perfectly.",0,0,0.8519,0,6.0,2.0357142857142856,0
2024-07-18,Concrete-1,6,9,113,5,"Productive day, finished Zone A early.",0,0,0.0,1,7.0,2.0925925925925926,0
2024-07-19,Concrete-1,7,11,55,7,"Rain delay caused slip hazards, slowed down install.",0,3493,-0.3182,3,10.0,0.7142857142857143,1
2024-07-20,Concrete-1,8,10,53,9,"Waiting on RFI response, crew standing around.",0,0,0.0,2,11.0,0.6625,0
2024-07-21,Concrete-1,6,10,98,9,"Crew size normal, steady pace.",0,0,0.0,2,8.0,1.6333333333333333,0
2024-07-22,Concrete-1,8,9,97,9,"Crew size normal, steady pace.",0,0,0.0,1,9.0,1.3472222222222223,0
2024-07-23,Concrete-1,5,8,108,8,"Ahead of schedule, inspection passed.",0,0,0.0,0,9.0,2.7,0
2024-07-24,Concrete-1,8,13,42,10,"Material delivery late, caused bottleneck.",1,0,0.0,5,14.0,0.40384615384615385,1
2024-07-25,Concrete-1,7,9,116,9,"Great weather, slab pour went perfectly.",0,0,0.8519,1,14.0,1.8412698412698412,0
2024-07-26,Concrete-1,6,8,115,8,"Ahead of schedule, inspection passed.",0,0,0.0,0,11.0,2.3958333333333335,0
2024-07-27,Concrete-1,5,8,100,7,"Great weather, slab pour went perfectly.",0,0,0.8519,0,9.0,2.5,0
2024-07-28,Concrete-1,6,13,62,9,"Confusion on drawings for HVAC, had to stop work.",0,0,-0.5267,5,12.0,0.7948717948717948,0
2024-07-29,Concrete-1,6,8,101,8,"Crew moving fast, materials arrived on time.",0,0,0.0,0,11.0,2.1041666666666665,0
2024-07-30,Concrete-1,8,9,119,7,"Crew moving fast, materials arrived on time.",0,0,0.0,1,12.0,1.6527777777777777,0
2024-07-31,Concrete-1,7,12,41,9,"Confusion on drawings for HVAC, had to stop work.",0,0,-0.5267,4,11.0,0.4880952380952381,0
2024-08-01,Concrete-1,5,13,57,11,Argument with sub trade over laydown area.,0,0,-0.3612,5,15.0,0.8769230769230769,0
2024-08-02,Concrete-1,8,8,118,10,"Crew moving fast, materials arrived on time.",0,0,0.0,0,15.0,1.84375,0
2024-08-03,Concrete-1,8,8,96,10,Routine install in Zone B.,0,0,0.0,0,15.0,1.5,0
2024-08-04,Concrete-1,8,8,101,9,"Crew moving fast, materials arrived on time.",0,0,0.0,0,10.0,1.578125,0
2024-08-05,Concrete-1,8,9,101,8,"Great weather, slab pour went perfectly.",0,0,0.8519,1,11.0,1.4027777777777777,0
2024-08-06,Concrete-1,7,8,113,7,"Crew moving fast, materials arrived on time.",0,0,0.0,0,10.0,2.017857142857143,0
2024-08-07,Concrete-1,5,14,50,9,"Crew exhausted from overtime, morale is low.",1,4857,-0.5574,6,12.0,0.7142857142857143,1
